Name,"Sub Category","Plan","AUM","CAGR 3Y","Expense Ratio","Volatility","Sharpe Ratio","Alpha","Sortino Ratio","Tracking Error","Time since inception","SEBI Risk Category","NAV"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","98541.2823","22.89375767990327","0.62","11.697924846740982","0.8969096944508963","4.3999999999999995","0.0904","7.181627358753725","145","Very High","89.9176"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","97460.90019999999","22.873340354048956","0.77","11.308999404014488","0.3841630903665786","0","0.0341","0","149","Very High","556.912"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","74105.4645","26.690403515323435","0.74","13.490156784856135","0.8397614661319012","4.5600000000000005","0.0833","5.265574259280748","149","Very High","2132.618"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","74035.6588","16.059865903477522","0.74","10.958172780167322","0.9175465546772","1.91","0.0889","2.6526302644733586","149","Very High","327.2213"
HDFC Liquid Fund,"Liquid Fund","Growth","73779.8465","6.963764159568342","0.2","0.11747135821126783","6.254556099356693","-0.21","0.3612","0.06667293303882768","149","Moderately Low","5150.8535"
HDFC Mid-Cap Opportunities Fund,"Mid Cap Fund","Growth","72610.0772","31.282560149103865","0.79","18.093764066108523","0.4905222930713751","4.1000000000000005","0.0467","4.440099850228596","149","Very High","207.48"
ICICI Pru Bluechip Fund,"Large Cap Fund","Growth","68033.75491458901","21.393979232013095","0.85","14.750592709447307","0.5063968009377626","2.6100000000000003","0.0495","2.6224686995272224","149","Very High","119.5"
SBI Liquid Fund,"Liquid Fund","Growth","67476.11690000001","6.953548158359135","0.21","0.09524704719832527","7.349897142137434","0","0.3361","0","149","Moderately Low","4101.3384"
Kotak Equity Arbitrage Fund,"Arbitrage Fund","Growth","63309.50889999999","7.591834275454001","0.44","0.9477081196233365","3.9479901063705825","0.74","0.6349","0.8492861708517336","149","Low","39.7846"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","62527.9077382254","14.859273544851614","0.84","6.965734051770855","1.0445426176083004","0","0.1095","0","149","High","81.22"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","58028.592800000006","29.587555092737606","0.68","20.417792017747658","0.18255684046345674","3.2099999999999995","0.017","4.103560283461181","149","Very High","185.1486"
ICICI Pru Multi-Asset Fund,"Multi Asset Allocation Fund","Growth","57484.5097011545","21.30809996012857","0.66","8.162671944896475","1.085816338060908","0","0.1069","0","149","High","821.564"
ICICI Pru Liquid Fund,"Liquid Fund","Growth","53192.6261170431","6.9820325369631675","0.2","0.10318430113151904","7.167340301673977","-0.15","0.3606","0.05397332674571765","150","Moderate","388.2105"
ICICI Pru Value Discovery Fund,"Value Fund","Growth","51111.8813232051","24.42707829800621","1","13.042495663024006","0.7651512791598797","4.24","0.0771","5.1592150565759525","149","Very High","509.55"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","50811.64690000001","20.753322521186313","0.65","17.300038672789146","0.3841630903665786","2.7199999999999998","0.0359","2.9494835615748056","149","Very High","94.031"
Kotak Emerging Equity Fund,"Mid Cap Fund","Growth","49645.8521","26.001070604407083","0.44","19.84313483298443","0.439723867898935","4.09","0.0416","4.3162786888707725","149","Very High","149.918"
SBI BlueChip Fund,"Large Cap Fund","Growth","49394.167199999996","17.98801715081901","0.82","14.206097089630214","0.5000469977912076","2.56","0.0508","3.0494929611330472","149","Very High","101.0965"
SBI Contra Fund,"Contra Fund","Growth","44068.5662","25.715938915026104","0.63","14.766467217313695","0.25557957664883946","2.56","0.0236","3.3939697818336567","149","Very High","412.5681"
Kotak Liquid Fund,"Liquid Fund","Growth","42664.50230000001","6.975891102748166","0.2","0.12064625978454534","7.48165555742845","0","0.4608","0","149","Moderate","5298.7179"
ICICI Pru Equity & Debt Fund,"Aggressive Hybrid Fund","Growth","42339.7067586158","21.7638263918551","0.98","11.68681269123451","0.7000657969076907","0.98","0.067","2.4986475381693998","149","Very High","428.71"
Aditya Birla SL Liquid Fund,"Liquid Fund","Growth","41051.4908","7.058837866376311","0.21","0.10635920270479655","7.346722240564155","0","0.3681","0","149","Moderate","423.4902"
Nippon India Multi Cap Fund,"Multi Cap Fund","Growth","40261.142","29.120071583907368","0.75","17.46513355459958","0.4111497537394374","3.27","0.0389","3.2542741126094463","149","Very High","322.8295"
Nippon India Large Cap Fund,"Large Cap Fund","Growth","39677.3798","24.24333049455205","0.68","16.112625484383354","0.46194817891187756","2.0500000000000003","0.0445","2.4795981287297346","149","Very High","99.4341"
Axis Liquid Fund,"Liquid Fund","Growth","39069.405801","7.034157889139792","0.09","0.1015968503448803","7.638813185305686","0","0.3659","0","150","Moderately Low","2916.1655"
Mirae Asset Large Cap Fund,"Large Cap Fund","Growth","38891.5512","16.156163840584227","0.55","15.447483604781718","0.5762446355498678","3.15","0.0574","2.365301672091744","149","Very High","125.046"
Mirae Asset Large & Midcap Fund,"Large & Mid Cap Fund","Growth","37798.8234","19.03887437921954","0.61","17.706426074168665","0.26986663372858827","2.02","0.0258","2.555795766488395","149","Very High","164.039"
HDFC Large Cap Fund,"Large Cap Fund","Growth","37315.1143","19.892678096923323","1.01","15.852283555374603","0.24287997035572942","1.1400000000000001","0.0233","2.1922695363481197","149","Very High","1214.316"
SBI Focused Equity Fund,"Focused Fund","Growth","36040.8209","18.230042170595095","0.77","13.633027355653622","0.5127466040843177","3.6700000000000004","0.0506","6.438700390606789","149","Very High","384.8333"
Nippon India Liquid Fund,"Liquid Fund","Growth","35392.1045","7.013839210275674","0.2","0.10318430113151904","7.2657622504455786","0","0.3682","0","149","Moderate","6418.8868"
Axis ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","34949.861006","16.81603854966005","0.8","15.236352650158764","0.4841724899248201","3.29","0.0498","4.968720962179302","149","Very High","107.1679"
SBI Balanced Advantage Fund,"Balanced Advantage Fund","Growth","34894.572","15.988344244411712","0.71","7.159403047740783","0.7588014760133247","0","0.0738","0","46","Very High","15.8856"
Nippon India Growth Fund,"Mid Cap Fund","Growth","34690.0335","30.31612951474607","0.74","20.366993592575216","0.4905222930713751","4.61","0.0461","3.444768207006097","149","Very High","4424.4691"
Axis Bluechip Fund,"Large Cap Fund","Growth","33218.096102999996","14.830165761827029","0.69","14.458501764705776","0.38257563957993984","1.67","0.039","3.2828482267689445","149","Very High","68.5"
