Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","RSI – 14D","Pledged Promoter Holdings","Promoter Holding","Beta","6M Return vs Nifty","5Y CAGR","Debt to Equity","ROCE","Return on Equity","Dividend Yield","Free Cash Flow"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1918633.97004852","1417.8","27.547581697227773","58.8568935427574","0","50.10716523858447","0.978562954540564","5.388097150501006","16.357220522238624","0.4957841320043034","9.596215900495036","7.935513763564524","0.38791679557366443","5905"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1476626.9736075","1927.5","20.858596436862797","58.37023914969","0","0","1.01323227282389","3.8932740269955364","15.16046954338428","0","5.801421033358642","16.85673681150032","1.1318500714888409","14782.619999999999"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1265643.19467158","3498.1","26.06725011166313","54.7486033519553","0","71.76605361484792","0.777698612127816","-21.115850549831727","12.142348577012307","0.09806726462081423","62.59181432682114","51.90336201827997","3.5447814527886563","44971"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1117169.0701656","1863.6","33.2925778074806","53.0645161290322","0","52.419158740823576","0.600396559421121","10.474070879021529","27.999008097509236","2.0422919198703346","19.829280497798926","7.04406716343988","0.8099167408795858","38846.7"
ICICI Bank Ltd,ICICIBANK,"Private Banks","1038408.4377831","1456.5","20.409556519961058","69.0529875986471","0","0","1.08409503024496","8.72795592619497","34.41494639943026","0","7.870371435666534","18.019082409233544","0.7439136301407394","153605.93000000002"
State Bank of India,SBIN,"Public Banks","711604.5784109901","797.35","9.174734089925881","62.0185922974768","0","57.4321249299344","1.43255438204629","-7.579999754093142","37.65846617748301","0","5.628392739088888","16.722561093597644","1.9941054743838966","21632.43"
Infosys Ltd,INFY,"IT Services & Consulting","657161.01928272","1585.6","24.60079434293116","60.7201759208356","0","13.050683032097707","0.940629756933192","-18.5617821348617","18.070966410527877","0.08551708366682952","36.23231216351422","28.931464714291902","2.711285643486205","33457"
Life Insurance Corporation Of India,LICI,"Insurance","597364.407870945","944.45","12.362589574014608","90.446841294299","0","96.49999999264823",,"-6.910977713729831",,"0","1.0712924379902293","63.31293790764639","1.2705812231182925","25353.88"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","571395.6998256","9204","34.34318317096833","70.1071428571429","0","54.73235646688528","1.81722155989571","35.481306945223274","36.34084134631952","3.824818975335533","6.466100752323513","22.051521153288157","0.6056826732606336","-73797.92"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","556077.7639775401","2366.7","52.218777723498924","55.4236200256739","0","61.900675301370775","0.807847220735293","-7.447009819376695","2.841169314669001","0.028858681912762772","22.571746452684682","20.16185197900829","2.2394050788017066","13992"
ITC Ltd,ITC,"FMCG - Tobacco","524028.765829375","418.75","15.081427057224682","46.9191270860077","0","0","0.760900251036667","-10.151948227633401","17.534155291803","0.00405167741421181","53.786945690544265","28.330617807699795","3.613954999223518","13616.33"
Larsen and Toubro Ltd,LT,"Construction & Engineering","502735.13098578","3655.3","33.432962250444426","73.74213836478","0","0","1.04251928347441","-4.227307949213058","31.42504272661317","1.1473543997903703","18.913270106516645","13.798467139801561","0.9300430928373399","4741.879999999999"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","450952.41300471","1664.7","25.918294902276568","62.1215975578733","0","60.81447240606731","0.810684126274225","-13.96114093227584","24.782931918247584","0.08434034948953435","31.338489774514944","23.493854221996123","3.6105784349866514","21400"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","413879.68349232","2081.6","18.859226596702598","45.2747252747253","0","25.884440468293086","1.09125787369406","15.769511144917617","11.204707541340643","0","8.984812678983594","15.034466072732451",,"14558.31"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","407838.9582006","1699.8","37.316997485652884","42.0269312544295","0.4778574122978752","54.47903487190035","0.80159527997995","-8.92428542775064","29.085688971935507","0.04878358810698959","20.46642434106293","15.14993026499303","0.9412872102600306","9933.17"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","389607.6697008","12392","26.869123853519273","54.0478905359179","0","58.28402537187879","0.412396987071304","7.3447957886257775","17.17185980241176","0.0013849315708346953","22.175366498679935","16.8353967455544","1.0894125242091672","7601.199999999999"
Axis Bank Ltd,AXISBANK,"Private Banks","372546.40673398","1201.7","13.316619277345449","66.2596401028278","0","7.9054397387721576","1.19937242637215","2.769937628042305","25.567817967201822","0","8.127585674034018","18.34298083205708","0.08285062798106632","-7940.08"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","360931.3701441","3009","27.916202221662754","52.1557941977881","0.0032719680604285646","18.452181913986976","0.998587451808564","-3.156506560722251","47.13549053534889","1.340677549038382","17.692990197208644","15.371933137252714","0.7814180025510048","-15575.939999999999"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","334434.31425","5000.7","39.984351540447115","67.9818561451508","0","71.63880587641583","1.61208165502406","8.098308975713786","78.22711251562113","0.0017198657187045005","26.037152703380467","28.91268018141915","0.4999300097986282","6467.65"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","331459.4333112","11269","54.885477050624985","47.0256731371321","0","59.228162756011734","1.07715181333627","-6.169526466388235","23.610739515108037","0.18915565838832635","12.421880022167747","12.218351091222614","0.6749903453945238","1891.9500000000007"
NTPC Ltd,NTPC,"Power Generation","329056.36525729","339.35","14.048753429711915","54.3643263757116","0","51.103608008372824","0.910510884235056","-8.173604234329485","28.238197413306885","1.4360931789459301","11.919006433490118","13.168919237436327","2.46058641520554","9968.669999999998"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","320967.73589262","2010.9","36.17634369094639","55.9395875689805","0.006285612979012177","60.642117190560455","1.87116657579889","23.03376622618751","35.484281421212984","2.7841990212559087","6.521819189187515","8.9845216454206","0.04966631143054569","-70109.67"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","318298.4506458","3588.3","95.38461212040755","61.4436619718309","0","52.89583698849282","1.21690647307668","5.599939848112383","32.15991409799606","1.653145959757266","36.54281528832068","32.83091515236888","0.3075729705921263","1004"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","310757.5886277","1438.6","28.015588153207037","82.3788546255507","0","65.89280232619481","1.27198807963174","15.414201457138939","34.75120028247189","0.899169989786037","15.757787289879294","15.946559059152545","0.48658417906297796","7601.28"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","305751.105822624","243.04","8.440192058121967","60.7503991484832","0","58.892707957279974","0.938826223232715","-8.545038510479554","23.911292210072176","0.4195685974342529","12.006063516064422","14.726500362138646","5.04032289876339","61347.07"
